index,text
134,"['yah', '130', 'dapat', 'padahal', 'ngarep', 'banget', 'bnr2', 'hemat', 'banget', 'untuk', 'perlu', 'lain']"
135,"['ih', 'brapa', 'bulan', 'bayar', 'listrik', 'murah', 'banget', 'dlm', 'sbulan', 'biasa', '120rb', 'jadi', '10rb', 'kali', 'sudah', 'atau', 'bulan']"
136,"['batas', 'apa', 'ya']"
137,"['moga', '130', 'masuk', 'bingung']"
138,"['cara', 'bagaimana', 'kak']"
139,"['kirakira', 'anak', 'abah', 'diskon', 'atau', 'ya']"
140,"['dari', 'perintah', 'diskon', 'listrik', 'bulan', 'blnya', 'kali', 'lipat', 'byrany', 'ampun', 'stop', 'sklian', 'tidak', 'doat', 'apa2']"
141,"['listrik', 'diskon', 'barang', 'butuh', 'juga', 'naik', 'harga']"
142,"['terimakasih', 'diskon', 'listrik', 'token', 'rumah', 'belum', 'abis2']"
143,"['salah', 'satu', 'rasa', 'irit', 'diskon', 'listrik', 'waktu', 'sekarang', 'mau', 'diskon', 'alhamdulilah', 'hemat']"
144,"['kemarin', 'kasih', 'diskon', '50', 'itu', 'naik', 'ampun']"
